Class;latitude;longitude
0;49.23350670772743;16.553845140869935
0;49.23412320475565;16.555604669983705
0;49.233842979787546;16.554832193787416
0;49.23328252508227;16.556806299622377
0;49.23356275322973;16.55594799273761
0;49.23356275322973;16.5552613472298
0;49.23311438743073;16.553802225525697
0;49.232581947758646;16.554660532410463
0;49.23204950234775;16.555604669983705
0;49.23196543149511;16.55650589221271
0;49.23305834141969;16.55573341601642
0;49.23353473048654;16.554789278443177
0;49.23280613358319;16.556076738770326
0;49.23272206401822;16.557020876343568
0;49.231769265615895;16.55723545306476
0;49.23112471509967;16.55749294513019
0;49.2307884245354;16.555347177918275
0;49.23090052164452;16.557020876343568
0;49.230844473121785;16.556377146179994
0;49.23185333680236;16.55624840014728
0;49.231657170478016;16.555304262574037
0;49.232077525933505;16.554660532410463
0;49.233002295345095;16.555604669983705
0;49.23345066216151;16.55474636309894
0;49.23174124185527;16.556377146179994
0;49.231629146653816;16.5547034477547
0;49.23073237588547;16.554875109131654
0;49.23062027839484;16.55620548480304
0;49.23305834141969;16.55401680224689
0;49.2379341064986;16.546807024414857
0;49.238130247896756;16.547922823365052
0;49.238354408540815;16.548781130249818
0;49.2375978622896;16.549639437134584
0;49.235804521180896;16.55127022021564
0;49.23516002331528;16.55169937365802
0;49.234879804229024;16.550411913330873
0;49.234515517040286;16.549339029724916
0;49.23415122716503;16.548051569397767
0;49.234739694089754;16.547665331299623
0;49.23555232736542;16.547407839234193
0;49.23633692611837;16.547364923889955
0;49.23703745018765;16.547064516480287
0;49.237794005023034;16.546635363037904
0;49.23782202534994;16.54800865405353
0;49.23782202534994;16.548781130249818
0;49.23720557448589;16.54925319903644
0;49.237177553809246;16.55045482867511
0;49.23653307385925;16.550669405396302
0;49.2366451579329;16.549682352478822
0;49.23734567763061;16.549811098511537
0;49.23723359514663;16.548909876282533
0;49.23754182136554;16.548094484742006
0;49.23748578037789;16.547579500611146
0;49.23636494727189;16.550111505921205
0;49.23586056407614;16.55024025195392
0;49.23577649970942;16.550883982117494
0;49.23521606694178;16.549124453003724
0;49.2351320014782;16.54873821490558
0;49.23577649970942;16.548180315430482
0;49.236477031727055;16.548309061463197
0;49.236140777598536;16.549339029724916
0;49.22935916409856;16.558093759949525
0;49.22944323938649;16.559166643555482
0;49.22949928949897;16.56045410388263
0;49.22952731453137;16.561097834046205
0;49.22933113897077;16.55942413562091
0;49.22933113897077;16.558909151490052
0;49.228630505609736;16.558651659424623
0;49.22899483619748;16.558093759949525
0;49.228406300835765;16.558265421326478
0;49.227453419195655;16.558179590638
0;49.227004997947226;16.557922098572572
0;49.22683683892985;16.55822250598224
0;49.22689289199923;16.558780405457338
0;49.22694894500501;16.559853289063295
0;49.2270890772413;16.560539934571107
0;49.22773368040925;16.560883257325013
0;49.228490377745246;16.560840341980775
0;49.22924706349206;16.56118366473468
0;49.22924706349206;16.560325357849916
0;49.22885470936628;16.55942413562091
0;49.227817758463345;16.559166643555482
0;49.22795788823552;16.559638712342103
0;49.22888273476431;16.560411188538392
0;49.23535617572982;16.560668680603822
0;49.23608473502122;16.561784479554017
0;49.236140777598536;16.56242820971759
0;49.23594462829976;16.563629839356263
0;49.235384197439735;16.563629839356263
0;49.23448749483759;16.563586924012025
0;49.23530013226231;16.56242820971759
0;49.23591660690777;16.561870310242494
0;49.236140777598536;16.56320068591388
0;49.2334226393547;16.562599871094545
0;49.23403913743213;16.561097834046205
0;49.23518804513649;16.56144115680011
0;49.23496387012182;16.562556955750306
0;49.234767716149406;16.561784479554017
0;49.234515517040286;16.562556955750306
0;49.23423529429776;16.56324360125812
0;49.23322647926201;16.563629839356263
0;49.23263799431015;16.563372347290834
0;49.23230171404721;16.562857363159974
0;49.23238578432756;16.561784479554017
0;49.23291822611395;16.561312410767396
0;49.23350670772743;16.56122658007892
0;49.23311438743073;16.562599871094545
0;49.234207271936086;16.563801500733216
0;49.234739694089754;16.560840341980775
0;49.2322176436238;16.562771532471498
0;49.231909384180526;16.562514040406068
0;49.231629146653816;16.562385294373353
0;49.23115273921003;16.562642786438783
0;49.231657170478016;16.561827394898256
0;49.23331054796855;16.56225654834064
0;49.233955069965546;16.563544008667787
0;49.23602869238033;16.56272861712726
0;49.23731765703344;16.563544008667787
0;49.23720557448589;16.56272861712726
0;49.23706547094378;16.561913225586732
0;49.23684130444973;16.56298610919269
0;49.2367572417522;16.56393024676593
0;49.23762588272778;16.56448814624103
0;49.2379341064986;16.56350109332355
